日期,10年国债-中国,股票-中国上证,股指期货-中国,能源期货-中国,肉类期货-中国,作物期货-中国,软商品期货-中国,金属期货-中国,名义有效汇率-中国,央行基准利率-中国,PPI-中国,,,,,,,,,
2012-10-1,1.439589538,2068.88,3342.92,4950,NaN,2331,5832,14640,90.45,2.25,106.0865759,,,,,,,,,
2012-11-1,1.443845701,1980.12,2930.45,4920,NaN,2331,5517,15110,91.61,2.25,105.959272,,,,,,,,,
2012-12-1,1.448149587,2269.13,3406.8,5010,NaN,2400,5686,15265,91.27,2.25,105.8956964,,,,,,,,,
2013-1-1,1.452124798,2385.42,3639.19,4910,NaN,2412,5451,15700,91.88,2.25,106.1498461,,,,,,,,,
2013-2-1,1.455479322,2365.59,3815.72,5200,NaN,2412,5503,15430,92.57,2.25,106.3090709,,,,,,,,,
2013-3-1,1.459820127,2236.62,3712.22,5185,NaN,2375,5413,14690,94.06,2.25,106.2771782,,,,,,,,,
2013-4-1,1.463355987,2177.91,3627.5,4810,NaN,2260,5436,14655,94.83,2.25,105.6926537,,,,,,,,,
2013-5-1,1.467350403,2300.59,4210.97,4646,NaN,2332,5276,14715,96.27,2.25,105.0373592,,,,,,,,,
2013-6-1,1.471061938,1979.21,3602.11,4494,NaN,2280,5336,14410,96.51,2.25,104.4596538,,,,,,,,,
2013-7-1,1.47551732,1993.8,3900.49,4986,NaN,2506,5213,14455,97.3,2.25,104.1149369,,,,,,,,,
2013-8-1,1.480328748,2098.38,4181.74,4539,NaN,2437,5320,14860,97.16,2.25,104.2606978,,,,,,,,,
2013-9-1,1.484888723,2174.67,4470.45,4017,NaN,2700,5341,14810,96.93,2.25,104.5004974,,,,,,,,,
2013-10-1,1.48891817,2141.61,4270.97,4056,NaN,2680,5500,14970,95.87,2.25,104.5004974,,,,,,,,,
2013-11-1,1.49445603,2220.5,4643.3,3598,NaN,2594,5063,14820,97.02,2.25,104.4691473,,,,,,,,,
2013-12-1,1.500121467,2115.98,4482.86,3800,NaN,2625,4851,15145,97.71,2.25,104.4795942,,,,,,,,,
2014-1-1,1.505576925,2033.08,4714.68,3339,NaN,2671,4493,14935,98.88,2.25,104.4273544,,,,,,,,,
2014-2-1,1.510129414,2056.3,4842.52,4681,NaN,2701,4435,15000,98.26,2.25,104.2184997,,,,,,,,,
2014-3-1,1.515798409,2033.31,4633.27,3872,NaN,2500,4782,14720,96.39,2.25,103.9058442,,,,,,,,,
2014-4-1,1.521087099,2026.36,4525.31,3614,NaN,2330,4711,15010,95.06,2.25,103.6487811,,,,,,,,,
2014-5-1,1.525928322,2039.21,4648.23,3882,NaN,2350,4761,15110,94.56,2.25,103.5916706,,,,,,,,,
2014-6-1,1.53083598,2048.33,4884.4,4165,NaN,2350,4566,15685,94.9,2.25,103.3701916,,,,,,,,,
2014-7-1,1.536202814,2201.56,5115.58,3017,NaN,2415,4525,16820,95.33,2.25,103.2744708,,,,,,,,,
2014-8-1,1.541639119,2217.2,5421.29,2303,NaN,2499,4110,16630,96.94,2.25,103.0701939,,,,,,,,,
2014-9-1,1.546746273,2363.87,6127.13,2787,NaN,2298,4265,16725,98.96,2.25,102.6579132,,,,,,,,,
2014-10-1,1.550666126,2420.18,6208.61,2600,NaN,2298,4252,16860,100.48,2.25,102.2472815,,,,,,,,,
2014-11-1,1.555298896,2682.83,6478.11,2819,NaN,2659,4563,16770,102.65,2.25,101.7436114,,,,,,,,,
2014-12-1,1.56007195,3234.68,6027.52,3370,NaN,2646,4638,16760,103.34,2.25,101.1029319,,,,,,,,,
2015-1-1,1.564461041,3210.36,6546.6,2869,NaN,2326,4885,16190,104.64,2.25,100,,,,,,,,,
2015-2-1,1.567879768,3310.3,7141.89,3418,NaN,2326,5045,16100,105.06,2.25,99.2694,,,,,,,,,
2015-3-1,1.572450482,3747.9,8780.74,2892,NaN,2476,5224,15970,107.12,2.25,99.19812457,,,,,,,,,
2015-4-1,1.576862093,4441.65,10180.49,3086,NaN,2635,5413,16890,107.1,2.25,98.94001105,,,,,,,,,
2015-5-1,1.581162446,4611.74,13027.21,3100,NaN,2166,5459,16705,106.18,2.25,98.84977776,,,,,,,,,
2015-6-1,1.585691926,4277.22,11381.47,3001,NaN,2123,5310,15370,107.02,2.25,98.42561336,,,,,,,,,
2015-7-1,1.590312597,3663.73,9223.64,2200,NaN,2361,5047,14965,108.33,2.25,97.76035464,,,,,,,,,
2015-8-1,1.594912526,3205.99,7950.46,1758,NaN,2369,4962,14845,107.36,2.25,96.99625971,,,,,,,,,
2015-9-1,1.598935265,3052.78,7727.51,2508,NaN,2231,5313,13820,107.29,2.25,96.60681973,,,,,,,,,
2015-10-1,1.602149554,3382.56,9188.27,2309,NaN,2231,5159,13920,106.72,2.25,96.22039245,,,,,,,,,
2015-11-1,1.606310088,3445.41,10001.19,2272,NaN,2403,5540,12970,108.19,2.25,95.73929049,,,,,,,,,
2015-12-1,1.610243802,3539.18,10614.38,2341,NaN,2320,5506,13345,107.05,2.25,95.16485474,,,,,,,,,
2016-1-1,1.614032216,2737.6,7385.76,2340,NaN,2370,5333,12920,106.15,2.25,94.68903047,,,,,,,,,
2016-2-1,1.617031638,2687.98,7183.68,2227,NaN,2370,5282,14000,105.44,2.25,94.40496338,,,,,,,,,
2016-3-1,1.620879464,3003.92,8447.18,2498,NaN,2543,5422,14090,104.65,2.25,94.8769882,,,,,,,,,
2016-4-1,1.624618164,2938.32,8291.7,2355,NaN,2151,5384,15095,103.29,2.25,95.54112711,,,,,,,,,
2016-5-1,1.628401623,2916.62,8197.56,2040,NaN,2422,5484,15000,103.15,2.25,96.01883275,,,,,,,,,
2016-6-1,1.632052363,2929.61,8741.1,2495,NaN,2325,5991,16295,101.87,2.25,95.82679508,,,,,,,,,
2016-7-1,1.635879066,2979.34,8501.09,2270,NaN,2220,5748,16870,100.58,2.25,96.01844867,,,,,,,,,
2016-8-1,1.639582869,3085.49,8838.38,2073,NaN,2212,5787,18065,99.9,2.25,96.21048557,,,,,,,,,
2016-9-1,1.643013731,3004.7,8660.89,2455,NaN,2333,6280,18200,99.8,2.25,96.691538,,,,,,,,,
2016-10-1,1.645895631,3100.49,8911.14,2592,NaN,2479,6332,19270,99.99,2.25,97.36837877,,,,,,,,,
2016-11-1,1.649773224,3250.03,9015.55,2646,NaN,2411,7188,22945,100.27,2.25,98.82890445,,,,,,,,,
2016-12-1,1.654100884,3103.64,8490.92,4001,NaN,2588,7101,20755,100.94,2.25,100.4101669,,,,,,,,,
2017-1-1,1.657780677,3159.17,8205.87,4001,NaN,2444,6897,22765,100.91,2.25,101.2134483,,,,,,,,,
2017-2-1,1.661994229,3241.73,8508.32,4100,NaN,2469,6751,22815,99.97,2.25,101.8207289,,,,,,,,,
2017-3-1,1.666604535,3222.51,8339.75,3915,NaN,2431,6506,23430,99.32,2.25,102.1261911,,,,,,,,,
2017-4-1,1.670855481,3154.66,7842.01,3720,NaN,2441,6464,21865,98.74,2.25,101.7176864,,,,,,,,,
2017-5-1,1.675263639,3117.18,7213.15,3473,NaN,2326,6529,22815,98.16,2.25,101.4125333,,,,,,,,,
2017-6-1,1.680247383,3192.43,7465.76,3402,NaN,2306,6349,22695,98.63,2.25,101.2097082,,,,,,,,,
2017-7-1,1.685269829,3273.03,7444.96,3431,NaN,2540,6065,23270,98.6,2.25,101.4121277,,,,,,,,,
2017-8-1,1.690359753,3360.81,7679.87,3745,NaN,2550,6513,25805,99.06,2.25,102.3248368,,,,,,,,,
2017-9-1,1.69546124,3348.94,7842.59,4000,NaN,2765,6128,26365,100.19,2.25,103.3480852,,,,,,,,,
2017-10-1,1.699542491,3393.34,7631.53,4024,NaN,2765,5946,26205,100.35,2.25,104.0715218,,,,,,,,,
